id,amount,currency,state,date
X8733596268293881,713.21,USD,missouri,4/17/2007 9:14
K6807810821429341,85.89,USD,maryland,4/20/2007 0:31
O6857534671176202,858.38,GBP,chiba,12/15/2007 22:50
E6230253119606852,1542.79,USD,north carolina,2/10/2007 13:18
O9132624056043227,905.93,USD,oklahoma,5/31/2007 18:46
G5116973615032726,1855.73,USD,california,9/7/2007 15:15
A6536269876894449,644.77,AUD,maryland,7/13/2007 19:32
N4263507486022166,289.9,USD,bucuresti,3/22/2007 10:48
R5187361760589532,850.47,HKD,paris,2/25/2007 18:57
Q4914335153717086,789.61,GBP,nevada,3/27/2007 9:52
Z9176505267964821,297.83,USD,arizona,2/23/2007 2:54
X2163204089967500,1601.04,USD,san salvador,3/1/2007 7:21
Y3984688215643038,910.37,EUR,british columbia,2/10/2007 10:19
C8303871981139426,617.46,USD,san luis potosi,5/18/2007 8:24
F3636486297409778,234.5,USD,massachusetts,8/30/2007 2:02
G7902729859608622,17.35,USD,indiana,5/29/2007 18:50
A5656378357097561,66.18,USD,ohio,1/25/2008 2:32
C9622417421858623,767.19,USD,sjaelland,3/18/2007 17:47
V6752601781026441,1553.71,USD,minnesota,7/28/2007 12:11
T2343225343218196,619.66,USD,bucuresti,2/11/2007 8:51
R2893618389008586,601.53,SGD,zuerich,2/28/2007 11:38
H1269224674505115,894.18,USD,acre,5/10/2007 3:29
N2527521633986937,581.29,USD,chiba,5/21/2007 13:36
X9091323644229533,738.5,USD,quebec,9/6/2007 4:04
S2747967073549095,1666.41,USD,california,2/19/2007 21:17
M8669728832333168,693.83,CAD,georgia,2/11/2007 2:53
X7817693391231676,1635.25,USD,new york,10/22/2007 1:51
H7242331839457675,1028.27,GBP,texas,4/29/2007 9:49
K9165997029401326,573.83,USD,bucuresti,5/23/2007 22:20
J3781933447363113,608.61,CAD,new york,4/6/2007 15:49
Z2996147789446064,934.74,USD,pennsylvania,4/28/2007 20:09
K3861722249077356,6.91,CAD,district of columbia,2/10/2007 18:23
W6978627332205371,621.29,EUR,illinois,7/28/2007 16:05
U7177387587232938,45.8,USD,greater london,2/17/2007 0:45
A1151883756873243,1925.08,USD,mississippi,8/6/2007 8:56
V5679295321362914,1731.82,USD,virginia,3/27/2007 10:36
A7560749779186516,406.28,CHF,oslo,7/28/2007 21:02
E7697893655332149,611.34,USD,new jersey,8/5/2007 23:26
Y4212168282095304,1197.56,USD,indiana,3/8/2007 15:38
U6991315381842996,1030.65,USD,gyeonggi-do,4/23/2007 19:18
Y6095340455498964,1435.89,USD,new york,7/14/2007 3:40
J5173160649326679,1389.31,EUR,texas,2/27/2007 2:16
K3934697189798027,1957.92,USD,georgia,2/11/2007 7:05
D6581771811239311,1039.37,NZD,staffordshire,3/4/2007 4:33
P1241215840575799,536.67,USD,pennsylvania,3/14/2007 17:06
C2412516079927057,599.16,GBP,minnesota,2/11/2007 7:27
S5051771724545468,600.66,USD,wien,4/11/2007 14:11
S4998563091131641,1010.3,USD,wisconsin,2/14/2007 0:52
N8252286057188257,1744.51,USD,arizona,3/8/2007 3:29
Z4836790353125314,911.21,USD,new york,3/6/2007 4:14
F3656583295432163,679.59,USD,bedford,7/4/2007 16:59
Y1074827074023840,1149.92,MXN,virginia,2/16/2007 21:36
T2921331387282087,608.24,USD,roma,7/4/2007 18:22
I7673381687952423,685.76,USD,district of columbia,2/11/2007 3:55
S9839328587774637,1765.58,BRL,maine,2/14/2007 10:29
M6134404640067837,1052.32,USD,sheffield,9/18/2007 11:50
R6841987477626712,471.37,USD,bucuresti,4/12/2007 4:37
S7614823533672580,1391.74,USD,ohio,3/14/2007 14:52
W7751485576373613,1766.86,USD,florida,3/5/2007 3:35
J5686130120261743,898.56,USD,georgia,9/14/2007 21:49
P1703152279077557,602.68,USD,new jersey,2/10/2007 14:12
C9138742195325698,379.82,USD,ohio,2/23/2007 19:25
B4090570232775023,218.5,USD,texas,2/28/2007 13:18
I2774746845408884,425.79,USD,minnesota,4/12/2007 3:21
Y9780803021152046,1615.41,USD,dublin,2/17/2007 4:48
N6818698247561123,474.85,USD,florida,5/31/2007 17:37
M9365882253727477,1282.51,AUD,alabama,1/25/2008 1:31
I7804350717875811,0.66,NOK,oklahoma,5/31/2007 13:25
C8562894567581841,1992.32,USD,florida,3/8/2007 13:22
B8932395727927077,121.76,USD,california,2/10/2007 20:06
L2950305266139752,1893.69,GBP,new york,7/21/2007 2:52
V7271142075599744,479.17,USD,saskatchewan,3/9/2007 9:07
D6627306619195928,1801.34,KRW,san salvador,5/21/2007 9:44
X7662237879388120,1808.01,USD,indiana,2/19/2007 15:24
M8849487359711334,424.81,USD,california,3/2/2007 12:00
S9259685391612241,1448.3,USD,georgia,2/20/2007 20:56
F4128798192083938,644.42,GBP,berlin,3/13/2007 0:00
T9437647863465539,766.93,USD,stockholms lan,3/4/2007 0:12
H4808233981974459,919.98,USD,illinois,2/11/2007 2:08
I8628771895113972,1946.03,USD,illinois,4/23/2007 20:17
Q7664414634868707,961.09,CAD,new york,4/11/2007 22:53
D7598547197381774,1973.07,USD,quebec,3/16/2007 3:32
N2412857471627840,1480.68,CAD,illinois,6/27/2007 1:34
A2176515893617954,1909.92,USD,mecklenburg-vorpommern,2/10/2007 15:23
C1839683520775483,787.47,USD,georgia,3/30/2007 17:08
O3786191377949117,565.03,USD,tennessee,2/18/2007 16:15
M1304858963042361,1443.34,USD,new jersey,3/24/2007 19:31
O1993539786104650,664.45,USD,georgia,4/24/2007 2:49
L9197681474126179,663.08,USD,new jersey,2/26/2007 16:59
K1525400198461112,832.05,USD,missouri,4/30/2007 4:34
E1943896624614683,1440.08,EUR,michigan,5/20/2007 14:13
B1319586733602762,1811.32,ILS,kentucky,7/4/2007 13:49
L9106271599027008,1209.7,USD,california,3/11/2007 6:15
P8754379928705294,539.22,USD,pennsylvania,7/4/2007 1:54
A3553898182406508,1974.52,USD,missouri,2/22/2007 2:27
S4675544415944571,1077.4,USD,baden-wuerttemberg,10/2/2007 11:08
P4564757563523515,1090.29,USD,none,3/24/2007 16:51
J6880956127473116,634.02,USD,missouri,5/21/2007 6:58
W9748407862622253,956.74,USD,rio grande do sul,2/18/2007 16:30
S1126330769062367,1144.64,AUD,colorado,4/12/2007 6:20
W9546973665894960,1001.65,USD,noord-holland,2/14/2007 3:23
P8018391363987202,876.68,MXN,montana,5/6/2007 2:45
B4950439847507884,1222.18,USD,colorado,11/27/2007 16:47
O1495504375855100,1925.26,USD,antwerpen,2/23/2007 1:20
Y3298446741152075,1184.16,CAD,vermont,10/10/2007 11:00
T3503141995457381,350.37,USD,texas,5/2/2007 6:20
S7094921320547130,966.37,EUR,california,6/11/2007 5:14
Y8325462788921417,1015.59,GBP,alberta,3/1/2007 17:38
G7209861439253173,1705.1,USD,massachusetts,7/28/2007 20:51
S2038818917402590,366.14,GBP,california,11/13/2007 14:00
F6542882314293986,1260.73,USD,new york,4/6/2007 7:56
E6430854368348039,1340.36,USD,worcestershire,3/7/2007 5:31
A3488582390204312,1808.93,USD,washington,10/28/2007 14:14
N6767935459199701,1596.92,EUR,florida,3/24/2007 19:44
E3252161079869516,1156.95,USD,arizona,5/9/2007 13:20
K2690367738221149,385.9,EUR,ohio,3/1/2007 9:31
U8261439169347109,661.89,GBP,massachusetts,5/12/2007 1:10
G8044408239861329,379.11,USD,hamerkaz,1/6/2008 18:11
B4826741735139748,676.91,USD,birmingham,6/3/2007 0:56
L9731729466854574,1678.92,USD,michigan,2/11/2007 8:33
R3699202955355993,255.42,USD,luxembourg,2/28/2007 14:39
F2239834197911265,1834.24,GBP,alabama,6/6/2007 7:34
C1321314324625266,1544.52,USD,mississippi,8/9/2007 18:23
Y6535598813532723,872.05,USD,new mexico,4/11/2007 13:56
A6309266579817673,1353.26,CAD,karnataka,4/24/2007 3:58
S4233745235591469,295.55,USD,massachusetts,2/20/2007 9:39
Y5575639871031317,1304.13,USD,california,3/12/2007 23:59
K4216588859819947,718.95,USD,georgia,3/2/2007 11:58
L1445305150165223,1227.39,CAD,barcelona,3/28/2007 8:13
F3000411029044831,1388.38,GBP,texas,3/14/2007 18:08
V2019542869538363,727.87,BRL,alberta,3/14/2007 18:22
C7126610798741797,1127.24,GBP,new york,7/12/2007 19:43
N1482188115467810,1120.52,EUR,sao paulo,4/1/2007 20:52
J3455777549541341,1703.54,NOK,new york,2/10/2007 10:54
C3901557088312748,674.58,USD,midtjylland,3/7/2007 2:27
L9936399313211384,588.49,GBP,hovedstaden,7/7/2007 10:40
G3906253255146216,1449.51,USD,louisiana,6/23/2007 5:35
K7585851973689579,538.32,EUR,alabama,8/10/2007 3:53
A7223216431766397,672.61,USD,virginia,2/11/2007 1:57
M5050460180189017,822.33,USD,montana,6/16/2007 13:27
Q2546990135249589,1683.94,USD,oregon,8/21/2007 20:55
H4149916999684375,1913.91,USD,missouri,3/28/2007 22:52
P8627453522088479,238.86,USD,new york,9/28/2007 13:00
S1657588276854578,1771.88,USD,georgia,3/8/2007 18:26
S3528463510388653,539.46,USD,connecticut,3/16/2007 5:15
A3507789925465928,1404.34,USD,pennsylvania,8/16/2007 11:51
R5981710323528134,1529.27,USD,illinois,3/8/2007 2:00
J5220473919349326,1967.57,USD,western australia,11/7/2007 21:55
R5137123944276197,846.68,KRW,georgia,5/20/2007 14:40
Z8585424598364799,1373.72,USD,madrid,2/11/2007 4:21
J5211443111145561,1463.48,USD,alabama,4/18/2007 3:53
W5507100425169980,1664.33,USD,orebro lan,2/10/2007 15:28
Z6151539113974324,1306.95,NZD,moskva,1/1/2008 1:52
R7032488993266887,1867.33,USD,louisiana,4/21/2007 12:55
S6952719569471924,992.7,USD,virginia,3/8/2007 5:27
T2867237565863410,1814.97,USD,rio de janeiro,2/11/2007 1:30
N3189485430321454,1753.07,USD,paris,2/23/2007 0:04
A4691936223818290,1302.79,USD,bucuresti,5/22/2007 8:25
L5671662670297487,836.82,BRL,utah,4/30/2007 5:48
H8552738224239945,112.1,USD,virginia,5/8/2007 22:36
G5142176329738092,347.12,USD,vienne,2/10/2007 11:56
N3483468572686300,476.8,CAD,california,2/12/2007 17:48
L1264103084047997,663.78,USD,texas,2/24/2007 21:03
C9949317096227109,1728.67,CAD,bratislavsky,3/6/2007 21:27
M2042363531137582,886.49,USD,hordaland,2/10/2007 13:44
I8386116012911996,1723.18,AUD,florida,4/17/2007 13:01
C9080540951714488,1671.28,USD,virginia,2/10/2007 21:18
T7244474529772458,438.52,USD,massachusetts,2/11/2007 7:39
Q8115913588903022,1987.96,USD,quebec,3/1/2007 5:12
P7302355726469132,140.31,MXN,new jersey,6/18/2007 9:52
X9888716474634926,196.89,GBP,new york,5/6/2007 7:32
U8380385860846262,1638.22,USD,new jersey,4/24/2007 8:56
W8423137429388584,222.78,CAD,slough,2/17/2007 8:24
X1138999638826676,314.61,USD,tennessee,10/10/2007 10:54
W8732898664456268,638.38,AUD,greater london,9/27/2007 2:38
S2486331029902348,1312.76,USD,new york,3/4/2007 8:57
U1473829992067216,252.69,AUD,minnesota,2/23/2007 1:41
P8205911755371949,893.89,USD,noord-holland,2/14/2007 14:48
D1795510969941650,276.18,BRL,sheffield,4/9/2007 19:37
S6982377517159121,1930.27,USD,arizona,7/31/2007 5:33
L1434746893638436,1542.06,CAD,texas,3/31/2007 1:41
K9382640394604745,1859.91,USD,dublin,2/11/2007 8:36
V3890439595111921,1695.93,USD,illinois,2/10/2007 19:06
F3217847692438763,1715.02,USD,tennessee,3/6/2007 1:03
M5877711998417931,470.61,USD,distrito federal,5/3/2007 2:20
M3299345948513173,1080.48,AUD,new south wales,5/5/2007 12:21
C2602436526865245,1913.87,CAD,pennsylvania,9/28/2007 13:16
Q9719202376829632,1164.66,GBP,texas,3/2/2007 16:00
Q8195422469884840,583.35,USD,california,8/9/2007 19:19
Y6708551976598788,1667.01,EUR,virginia,10/29/2007 2:01
H4481469186771556,610.54,USD,florida,5/12/2007 6:24
Q7062317265305488,585.76,USD,hordaland,7/22/2007 18:57
I3207491579791055,1613.31,USD,georgia,6/11/2007 1:19
D9152851118134600,1126.53,USD,louisiana,8/14/2007 1:11
P1205874477026037,1232.63,USD,new york,6/26/2007 1:22
G9681839795174136,753.06,USD,slough,2/20/2007 10:16
G8101672823179547,351.88,USD,california,2/25/2007 13:49
I6401791833179709,953.97,DKK,mazowieckie,6/22/2007 12:17
D8628115330366619,1831.17,USD,new south wales,4/21/2007 18:40
E3899646685195645,56.92,USD,new south wales,10/30/2007 1:01
H1479669657415777,1669.3,USD,michigan,8/27/2007 15:06
P2829758433603211,1291.21,USD,bucuresti,8/1/2007 1:07
Z2261668261757843,958.17,EUR,quebec,8/11/2007 16:48
O2228301249532039,889.53,USD,ohio,5/24/2007 4:27
B2952384084631361,144.61,INR,iowa,2/15/2007 6:48
O8455785493287012,334.84,USD,okinawa,3/22/2007 3:51
U9880881347681413,1123.62,GBP,new york,6/3/2007 3:35
R6841987477626712,1129.42,USD,slough,8/4/2007 15:16
K8805371190553608,1639.34,USD,new york,2/10/2007 10:50
R1864799647297500,1419.93,USD,cork,11/28/2007 1:31
A7339519267985930,1491.34,USD,texas,2/11/2007 1:50
E6682713818349969,1884.3,USD,washington,9/14/2007 10:21
U8057915195634101,412.47,USD,sheffield,4/26/2007 16:49
Q6884604991048271,265.32,USD,distrito capital,4/5/2007 17:07
H4582125017742852,1852.11,SGD,parana,9/22/2007 17:51
N1861846759495103,24.45,USD,texas,3/26/2007 17:17
I9945713745611410,1704.39,USD,california,10/22/2007 5:35
X9705968096746398,1858.45,USD,idaho,2/14/2007 6:36
L8864885175827745,1238.63,USD,california,3/8/2007 19:28
X7302938011502426,443.49,EUR,ontario,2/10/2007 14:27
R9453270213536424,962.08,GBP,california,3/13/2007 3:13
F4013790758124871,1673.07,USD,arizona,12/7/2007 17:11
D7666512974834660,1173.59,USD,kansas,3/10/2007 21:26
D5906425544261082,732.09,USD,alberta,3/22/2007 19:39
C2523173781937558,161.47,USD,washington,7/21/2007 7:31
O9713579588548302,74.98,GBP,district of columbia,8/9/2007 14:09
B1475474038005535,1086.72,USD,hamburg,8/5/2007 16:41
J4985869812461682,472.11,EUR,ontario,2/5/2008 21:17
M2947372337217778,837.79,USD,new york,2/23/2007 7:10
R8184205193688433,1898.31,USD,massachusetts,7/28/2007 22:10
N5948564190473276,1093.68,EUR,san salvador,2/10/2007 20:45
A8879282492639718,1623.67,USD,al jizah,7/12/2007 13:20
R8363591653804385,1861.94,USD,minas gerais,3/22/2007 19:09
I7798465990536957,478.61,SEK,california,6/25/2007 11:49
E6057545157305082,681.58,JPY,ciudad de buenos aires,6/22/2007 12:07
R2426193382057953,1327.75,CHF,none,3/7/2007 5:43
C6810957871644958,229.55,USD,north carolina,10/8/2007 22:13
O1918424724057713,212.68,USD,bayern,7/22/2007 14:34
P7359605094808346,1629.39,SEK,auckland,3/27/2007 12:23
C8525940199471446,1197.97,USD,mississippi,12/16/2007 0:35
D2573997324115996,882.76,USD,california,3/23/2007 5:19
L7048320647667496,1300.17,USD,new south wales,4/6/2007 8:30
J2200932385734704,1919.59,RUB,nevada,5/31/2007 21:05
E8455632062467471,1984.6,USD,arizona,8/29/2007 19:11
U3246766971101719,1214.98,USD,kansas,6/17/2007 7:19
Y1156134252556990,393.83,USD,new york,8/14/2007 7:40
U7549890332713154,844.25,EUR,hauts-de-seine,4/4/2007 7:01
U6633616414811796,1383.81,EUR,florida,5/12/2007 18:42
C9544824637602582,1597.46,GBP,utah,3/28/2007 5:45
J6234608881883163,1436.29,USD,illinois,2/25/2007 0:09
H8779674321667477,1903.81,USD,georgia,7/22/2007 13:30
T2957464918775696,1436.44,USD,t'ai-pei,6/30/2007 14:09
Z9309544750321751,1941.82,BRL,california,6/17/2007 1:23
K8518228693914092,1283.86,USD,new jersey,2/10/2007 9:17
N2949747580496679,1366.8,CAD,texas,4/16/2007 4:35
R3882662573209028,1127.95,USD,wisconsin,4/11/2007 11:35
T1653517457712640,1204.41,USD,victoria,2/10/2007 22:06
W7520104266272091,1959.27,GBP,new york,2/19/2007 14:16
Z6873216231724712,467.22,USD,western australia,2/20/2007 0:43
B8448478158559842,725.01,USD,virginia,7/23/2007 3:03
B1882282086969447,133.01,USD,seine-saint-denis,5/5/2007 22:38
F9789167331265382,1944.92,USD,wisconsin,12/7/2007 18:02
F7030407336248643,972.71,USD,osaka,8/19/2007 3:19
W4632353162628577,1738.66,EUR,district of columbia,3/18/2007 0:12
Q8160690619502050,301.66,USD,birmingham,4/21/2007 2:05
R4487223470819117,469.83,USD,staffordshire,4/23/2007 21:39
E7804629723932310,1916.06,CAD,california,3/24/2007 23:58
T1902939458523883,824.26,USD,michigan,5/17/2007 12:51
G4296725915262992,1903.96,USD,new york,4/12/2007 2:59
Z5485580868556063,1395.99,GBP,georgia,8/9/2007 17:38
D2571910150495723,551.42,GBP,michigan,8/21/2007 12:33
L5477597910235197,1989.6,USD,michigan,6/10/2007 10:37
Y8877397762777043,301.12,EUR,district of columbia,3/3/2007 10:36
M2250697244891894,71.76,USD,illinois,3/15/2007 12:59
R4316762842688797,1576.5,CAD,stockholms lan,3/1/2007 3:02
X3289688010117371,794.64,USD,idaho,2/14/2007 13:59
K7583478956607660,462.41,CHF,greater london,2/17/2007 5:06
V9340556333554847,1966.35,USD,pennsylvania,5/31/2007 14:43
Y6669395658898624,1742.5,USD,victoria,6/23/2007 6:18
V8914149968045121,1351.67,USD,manchester,2/23/2007 4:44
Z9163973147725861,1260.9,EUR,sankt-peterburg,8/20/2007 1:33
U1687482487425035,625.92,USD,north carolina,2/27/2007 8:31
S8175292255529203,1580.78,JPY,north carolina,3/27/2007 20:17
K8139501880898624,421.07,USD,florida,1/7/2008 2:24
S9456888683667007,161.69,USD,greater london,2/27/2007 2:44
W7603591886497554,963.3,USD,sheffield,2/19/2007 20:55
H5529579514485384,1491.82,USD,ohio,6/5/2007 12:18
X8847530570779936,209.4,USD,ohio,9/1/2007 15:51
I3132142919418501,896.0,DKK,maryland,11/7/2007 10:57
B2524512645155074,1935.52,EUR,michigan,8/29/2007 16:27
D4744656024466041,229.14,PLN,new jersey,3/3/2007 16:56
W7024953411864162,1030.74,USD,new york,2/16/2007 19:41
Y6331847986992298,1124.69,EUR,pennsylvania,2/10/2007 11:25
W6348761153124744,1251.98,USD,seine-et-marne,2/20/2007 9:21
V8814293717364932,839.68,USD,maryland,2/11/2007 4:31
Y6589266816641541,1581.29,USD,california,10/19/2007 8:28
G9374136537906745,1649.52,USD,kansas,5/31/2007 16:46
W5816935026604774,1929.24,USD,saitama,2/18/2007 0:55
W3762994279598562,733.67,USD,new jersey,6/10/2007 13:50
B5009878869768298,754.81,USD,greater london,7/14/2007 18:41
T6814602438933950,73.6,CAD,manchester,3/10/2007 14:23
P7576367299602275,1387.29,GBP,none,6/25/2007 21:16
N7366912524377162,507.57,USD,new york,3/14/2007 11:49
F2087660261351338,1725.65,ILS,minnesota,3/20/2007 17:27
V9010299668121312,305.24,AUD,california,6/16/2007 12:25
A8606466924423187,251.68,USD,colorado,11/14/2007 0:43
M1969551793693922,1320.93,USD,madrid,4/1/2007 23:51
Z1385392669577229,920.15,GBP,minnesota,2/10/2007 14:04
C1175198431077178,1198.68,USD,new york,7/6/2007 1:13
Z1076552578463810,579.9,USD,california,5/9/2007 0:28
G5447158178554199,566.55,HKD,massachusetts,12/8/2007 3:50
G6030645056527350,213.11,USD,new york,6/23/2007 0:50
U9306541826908930,1206.72,USD,nordrhein-westfalen,2/11/2007 4:41
K2197132416034023,389.11,CAD,louisiana,4/24/2007 1:11
T7495257118292711,751.31,USD,cote-d'or,11/18/2007 6:05
C9075954167591234,1822.45,USD,paris,3/17/2007 13:12
G6885489056913345,38.33,NOK,blekinge lan,2/10/2007 17:17
N7398976196278353,1279.67,USD,arkansas,3/10/2007 8:17
U8714709917859281,1300.69,USD,illinois,2/11/2007 1:15
O4262617362633662,315.81,USD,washington,2/20/2007 14:50
U1148991878354282,1229.36,USD,stockholms lan,4/28/2007 7:46
B3461514381378921,319.86,USD,alabama,4/29/2007 6:39
K9071705814858614,478.62,USD,new mexico,2/10/2007 9:48
E1398673830887513,1804.78,USD,tennessee,2/23/2007 2:31
A5913347739714921,1826.48,USD,madrid,2/23/2007 0:36
I7597635226711652,500.89,USD,alberta,3/10/2007 16:34
S1824959958228270,993.62,USD,new york,3/24/2007 22:57
Q8583409538728217,911.06,USD,massachusetts,4/12/2007 7:45
V3241584028057388,523.3,USD,madrid,8/9/2007 9:36
C5994959077037310,24.01,USD,massachusetts,8/21/2007 16:59
S2245675125146751,359.64,USD,quebec,2/10/2007 21:01
B5659233488634804,1634.61,USD,georgia,2/17/2007 11:21
U5009434873656702,249.83,BRL,bucuresti,4/6/2007 9:05
N4116585843257513,688.93,USD,virginia,4/24/2007 8:05
O5524568844194906,979.98,USD,texas,4/14/2007 14:00
D2260695529616531,665.88,USD,texas,9/22/2007 13:23
Q2210227261826915,429.28,USD,texas,9/29/2007 0:54
T4032426386175508,1436.73,USD,zuerich,10/20/2007 22:43
C2174784773509621,505.49,USD,colorado,2/18/2007 19:07
E2091239690067291,41.17,SGD,kanagawa,3/26/2007 16:35
T3383919719403387,214.28,USD,sheffield,3/18/2007 20:21
T6756872445381503,776.88,USD,wisconsin,10/12/2007 7:46
B5818234344167136,67.03,USD,texas,2/20/2007 11:39
L2864300388485872,839.27,USD,texas,8/9/2007 17:25
E6792514846968205,829.75,USD,ontario,8/5/2007 8:57
K2444809566602558,940.85,JPY,florida,2/25/2007 10:31
F7592929099913148,83.94,USD,masqat,3/18/2007 18:41
R2637116255864575,325.41,USD,florida,3/13/2007 2:31
S8151829765554537,306.02,EUR,washington,5/14/2007 7:34
